Negative_sentiment_score,Neutral_sentiment_score,Positive_sentiment_score,Compound_sentiment_score,Rank,Opening_earnings,Release_month_Aug,Release_month_Dec,Release_month_Feb,Release_month_Jan,Release_month_Jul,Release_month_Jun,Release_month_Mar,Release_month_May,Release_month_Nov,Release_month_Oct,Release_month_Sep,Distributor_20th Century Studios,Distributor_A24,Distributor_AA Films,Distributor_Affirm Films,Distributor_Amazon MGM Studios,Distributor_Angel Studios,Distributor_Atlas Distribution Company,Distributor_Bleecker Street Media,Distributor_Briarcliff Entertainment,Distributor_Cineverse,Distributor_Columbia Pictures,Distributor_Crunchyroll,Distributor_Fathom Events,Distributor_Focus Features,Distributor_GKIDS,Distributor_IFC Films,Distributor_Janus Films,Distributor_Lionsgate,Distributor_MUBI,Distributor_Magnolia Pictures,Distributor_Metro-Goldwyn-Mayer (MGM),Distributor_Neon,Distributor_Paramount Pictures,Distributor_Roadside Attractions,Distributor_SDG Releasing,Distributor_Screen Gems,Distributor_Searchlight Pictures,Distributor_Sony Pictures Releasing,Distributor_The Avenue Entertainment,Distributor_The Samuel Goldwyn Company,Distributor_Trafalgar Releasing,Distributor_Universal Pictures,Distributor_Vertical Entertainment,Distributor_Walt Disney Studios Motion Pictures,Distributor_Warner Bros.,Distributor_Well Go USA Entertainment
0.06436,0.7722,0.16332,0.697536,45.0,9832281.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.07536,0.7394,0.18516,0.715644,114.0,2697850.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.05864,0.74716,0.19416,0.908496,163.0,2109935.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0328,0.78416,0.18308,0.881352,164.0,2328339.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.05972,0.754,0.18632,0.840936,29.0,28635307.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08624,0.76692,0.14672,0.684096,101.0,4007797.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.06908,0.71504,0.2158,0.72176,16.0,50016652.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.04632,0.72452,0.22908,0.967708,56.0,7633898.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.13144,0.73296,0.13548,0.121428,40.0,15335860.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0666,0.758,0.17524,0.819888,116.0,1557893.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.06048,0.74836,0.1912,0.82286,21.0,33715801.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.11524,0.76408,0.12076,-0.043796,124.0,2457041.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1208,0.72244,0.15656,0.35782,36.0,37678467.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
