Rank,Release,Opening,Open,Distributor,movie_id
1,Inside Out 2,"$154,201,673 ",Jun,Walt Disney Studios Motion Pictures,tt22022452
2,Deadpool & Wolverine,"$211,435,291 ",Jul,Walt Disney Studios Motion Pictures,tt6263850
3,Wicked,"$112,508,890 ",Nov,Universal Pictures,tt1262426
4,Moana 2,"$139,787,385 ",Nov,Walt Disney Studios Motion Pictures,tt13622970
5,Despicable Me 4,"$75,009,210 ",Jul,Universal Pictures,tt7510222
6,Beetlejuice Beetlejuice,"$111,003,345 ",Sep,Warner Bros.,tt2049403
7,Dune: Part Two,"$82,505,391 ",Mar,Warner Bros., tt15239678
8,Twisters,"$81,251,415 ",Jul,Universal Pictures,tt12584954
9,Sonic the Hedgehog 3,"$60,102,146 ",Dec,Paramount Pictures,tt18259086
10,Mufasa: The Lion King,"$35,409,365 ",Dec,Walt Disney Studios Motion Pictures,tt13186482
11,Godzilla x Kong: The New Empire,"$80,006,561 ",Mar,Warner Bros.,tt14539740
12,Kung Fu Panda 4,"$57,989,905 ",Mar,Universal Pictures,tt21692408
13,Bad Boys: Ride or Die,"$56,527,324 ",Jun,Sony Pictures Releasing,tt4919268
14,Gladiator II,"$55,034,715 ",Nov,Paramount Pictures,tt9218128
15,Kingdom of the Planet of the Apes,"$58,400,788 ",May,20th Century Studios,tt11389872
16,It Ends with Us,"$50,016,652 ",Aug,Sony Pictures Releasing,tt10655524
17,The Wild Robot,"$35,790,150 ",Sep,Universal Pictures,tt29623480
18,Venom: The Last Dance,"$51,012,404 ",Oct,Sony Pictures Releasing,tt16366836
19,A Quiet Place: Day One,"$52,202,495 ",Jun,Paramount Pictures,tt13433802
20,Ghostbusters: Frozen Empire,"$45,004,673 ",Mar,Sony Pictures Releasing,tt21235248
21,IF,"$33,715,801 ",May,Paramount Pictures,tt11152168
22,Alien: Romulus,"$42,003,361 ",Aug,Walt Disney Studios Motion Pictures,tt18412256
23,Red One,"$32,106,112 ",Nov,Amazon MGM Studios,tt14948432
24,Bob Marley: One Love,"$28,659,004 ",Feb,Paramount Pictures,tt8521778
25,Nosferatu,"$21,652,560 ",Dec,Focus Features,tt5040012
26,The Fall Guy,"$27,747,035 ",May,Universal Pictures,tt1684562
28,Longlegs,"$22,400,119 ",Jul,Neon,tt23468450
29,Mean Girls,"$28,635,307 ",Jan,Paramount Pictures,tt0377092
30,Smile 2,"$23,021,692 ",Oct,Paramount Pictures,tt29268110
31,Civil War,"$25,537,368 ",Apr,A24,tt17279496
32,Furiosa: A Mad Max Saga,"$26,326,462 ",May,Warner Bros.,tt12037194
33,A Complete Unknown,"$11,655,553 ",Dec,Searchlight Pictures,tt11563598
34,The Beekeeper,"$16,576,007 ",Jan,Metro-Goldwyn-Mayer (MGM),tt15314262
35,Transformers One,"$24,613,970 ",Sep,Paramount Pictures,tt8864596
36,Joker: Folie à Deux,"$37,678,467 ",Oct,Warner Bros.,tt11315808
37,Terrifier 3,"$18,928,113 ",Oct,Cineverse,tt27911000
38,Challengers,"$15,011,061 ",Apr,Amazon MGM Studios,tt16426418
