Movie_id,Negative_sentiment_score,Neutral_sentiment_score,Positive_sentiment_score,Compound_sentiment_score,Rank,Name,Opening_earnings,Release_month,Distributor
tt0327597,0.06436,0.7722,0.16332,0.697536,45,Coraline15th Anniversary,"$9,832,281 ",Aug,Fathom Events
tt0327785,0.07536,0.7394,0.18516,0.715644,114,The Killer's Game,"$2,697,850 ",Sep,Lionsgate
tt0347149,0.05864,0.74716,0.19416,0.908496,163,Howl's Moving Castle20th Anniversary – Studio Ghibli Fest 2024,"$2,109,935 ",Sep,Fathom Events
tt0368667,0.0328,0.78416,0.18308,0.881352,164,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"$2,328,339 ",Dec,Trafalgar Releasing
tt0377092,0.05972,0.754,0.18632,0.840936,29,Mean Girls,"$28,635,307 ",Jan,Paramount Pictures
tt10128846,0.08624,0.76692,0.14672,0.684096,101,Megalopolis,"$4,007,797 ",Sep,-
tt10655524,0.06908,0.71504,0.2158,0.72176,16,It Ends with Us,"$50,016,652 ",Aug,Sony Pictures Releasing
tt10720352,0.04632,0.72452,0.22908,0.967708,56,Arthur the King,"$7,633,898 ",Mar,Lionsgate
tt11057302,0.13144,0.73296,0.13548,0.121428,40,Madame Web,"$15,335,860 ",Feb,Columbia Pictures
tt11068094,0.0666,0.758,0.17524,0.819888,116,White Bird,"$1,557,893 ",Oct,Lionsgate
tt11152168,0.06048,0.74836,0.1912,0.82286,21,IF,"$33,715,801 ",May,Paramount Pictures
tt11240348,0.11524,0.76408,0.12076,-0.043796,124,The Exorcism,"$2,457,041 ",Jun,Vertical Entertainment
tt11315808,0.1208,0.72244,0.15656,0.35782,36,Joker: Folie à Deux,"$37,678,467 ",Oct,Warner Bros.
tt11389872,0.05816,0.78684,0.15496,0.658152,15,Kingdom of the Planet of the Apes,"$58,400,788 ",May,20th Century Studios
tt11563598,0.0402,0.80116,0.1586,0.851536,33,A Complete Unknown,"$11,655,553 ",Dec,Searchlight Pictures
tt11821912,0.0698,0.74588,0.18436,0.603872,113,Devara Part 1,"$5,600,000 ",Sep,-
tt11976134,0.0356,0.70428,0.2602,0.898712,174,Singham Again,"$2,190,000 ",Nov,-
tt12037194,0.0952,0.72916,0.17576,0.536528,32,Furiosa: A Mad Max Saga,"$26,326,462 ",May,Warner Bros.
tt12349832,0.10332,0.75412,0.14272,0.283372,106,Cuckoo,"$3,030,437 ",Aug,Neon
tt12584954,0.06644,0.73972,0.19388,0.772564,8,Twisters,"$81,251,415 ",Jul,Universal Pictures
tt1262426,0.04932,0.76672,0.18404,0.802572,3,Wicked,"$112,508,890 ",Nov,Universal Pictures
tt12735488,0.05192,0.76656,0.1816,0.880396,70,Kalki 2898 AD,"$5,668,275 ",Jun,-
tt12873300,0.0542,0.72536,0.2204,0.8113,102,Sight,"$2,795,447 ",May,Angel Studios
tt13097932,0.06672,0.78832,0.14492,0.63798,112,One Life,"$1,713,505 ",Mar,Bleecker Street Media
tt13186482,0.05692,0.74744,0.19572,0.838364,10,Mufasa: The Lion King,"$35,409,365 ",Dec,Walt Disney Studios Motion Pictures
tt1340094,0.09236,0.7386,0.16908,0.499956,93,The Crow,"$4,644,666 ",Aug,Lionsgate
tt13433802,0.10616,0.73168,0.16212,0.277844,19,A Quiet Place: Day One,"$52,202,495 ",Jun,Paramount Pictures
tt13622970,0.0732,0.731,0.19588,0.699284,4,Moana 2,"$139,787,385 ",Nov,Walt Disney Studios Motion Pictures
tt13655120,0.0932,0.78584,0.12104,0.326096,105,I.S.S.,"$3,064,583 ",Jan,Bleecker Street Media
tt13923084,0.10372,0.7212,0.17508,0.528568,151,Boy Kills World,"$1,682,525 ",Apr,Roadside Attractions
tt14088510,0.12304,0.71136,0.16552,0.289292,69,Tarot,"$6,503,012 ",May,Screen Gems
tt14260836,0.06856,0.74576,0.1858,0.679904,184,Better Man,"$18,259 ",Dec,Paramount Pictures
tt14351082,0.05164,0.71488,0.2334,0.930792,66,Cabrini,"$7,168,520 ",Mar,Angel Studios
tt14415204,0.11036,0.745,0.14452,0.37368,86,Never Let Go,"$4,449,065 ",Sep,Lionsgate
tt14539740,0.0646,0.76944,0.16576,0.742104,11,Godzilla x Kong: The New Empire,"$80,006,561 ",Mar,Warner Bros.
tt14824600,0.08436,0.75568,0.15996,0.556908,94,The Lord of the Rings: The War of the Rohirrim,"$4,552,109 ",Dec,Warner Bros.
tt14858658,0.08488,0.75528,0.15988,0.47366,59,Blink Twice,"$7,301,894 ",Aug,Amazon MGM Studios
tt14948432,0.08264,0.73764,0.17972,0.454264,23,Red One,"$32,106,112 ",Nov,Amazon MGM Studios
tt14966898,0.0954,0.73216,0.1726,0.5499,88,Late Night with the Devil,"$2,834,867 ",Mar,IFC Films
tt15009428,0.08216,0.732,0.18584,0.826964,39,Argylle,"$17,473,540 ",Feb,Universal Pictures
tt15041836,0.09552,0.77048,0.134,0.169624,187,Werewolves,"$1,052,998 ",Dec,Briarcliff Entertainment
tt15078804,0.08244,0.74452,0.17284,0.625188,158,Problemista,"$131,521 ",Mar,A24
tt15239678,0.03976,0.77624,0.18388,0.949424,,,,,
tt15314262,0.0982,0.7108,0.19104,0.505464,34,The Beekeeper,"$16,576,007 ",Jan,Metro-Goldwyn-Mayer (MGM)
tt15574270,0.0856,0.7686,0.14588,0.51092,120,I Saw the TV Glow,"$119,015 ",May,A24
tt15782690,0.08132,0.75656,0.16228,0.344584,170,In the Land of Saints and Sinners,"$1,034,132 ",Mar,The Samuel Goldwyn Company
tt15845160,0.0786,0.79408,0.12736,0.380728,176,The Ark and the Darkness,"$32,021 ",Mar,Fathom Events
tt1609486,0.05836,0.7262,0.21552,0.805656,72,Harold and the Purple Crayon,"$6,003,197 ",Aug,Columbia Pictures
tt16366836,0.0948,0.72744,0.17776,0.656028,18,Venom: The Last Dance,"$51,012,404 ",Oct,Sony Pictures Releasing
tt16426418,0.0556,0.75368,0.19068,0.75692,38,Challengers,"$15,011,061 ",Apr,Amazon MGM Studios
tt16539454,0.071,0.77292,0.15612,0.514156,81,Pushpa: The Rule - Part 2,"$9,300,000 ",Dec,AA Films
tt1684562,0.07568,0.73708,0.18732,0.829912,26,The Fall Guy,"$27,747,035 ",May,Universal Pictures
tt1723808,0.05188,0.78464,0.16332,0.737544,48,Reagan,"$7,650,720 ",Aug,-
tt17279496,0.13444,0.7544,0.11112,-0.136344,31,Civil War,"$25,537,368 ",Apr,A24
tt17505010,0.0652,0.76668,0.16808,0.590412,50,Horizon: An American Saga - Chapter 1,"$11,052,561 ",Jun,Warner Bros.
tt17526714,0.10184,0.7484,0.14976,0.426356,73,The Substance,"$3,205,212 ",Sep,MUBI
tt18259086,0.03816,0.72828,0.23352,0.972176,9,Sonic the Hedgehog 3,"$60,102,146 ",Dec,Paramount Pictures
tt18272208,0.07024,0.78656,0.14316,0.627588,83,Here,"$4,875,195 ",Nov,Sony Pictures Releasing
tt18412256,0.07412,0.76936,0.15648,0.704404,22,Alien: Romulus,"$42,003,361 ",Aug,Walt Disney Studios Motion Pictures
tt18559464,0.04976,0.77204,0.17836,0.923704,115,My Old Ass,"$167,853 ",Sep,Amazon MGM Studios
tt1896747,0.06952,0.7402,0.19028,0.720468,63,Fly Me to the Moon,"$9,402,176 ",Jul,Columbia Pictures
tt19356262,0.07752,0.75024,0.1722,0.704384,119,Drive-Away Dolls,"$2,404,330 ",Feb,Focus Features
tt19637052,0.07816,0.7354,0.1866,0.797932,96,Love Lies Bleeding,"$150,765 ",Mar,A24
tt19760052,0.03884,0.78272,0.17848,0.862096,147,The Taste of Things,"$130,050 ",Feb,IFC Films
tt19864802,0.1166,0.72988,0.1536,0.25706,123,Land of Bad,"$1,840,510 ",Feb,The Avenue Entertainment
tt20215234,0.06428,0.77324,0.1622,0.64742,47,Conclave,"$6,601,995 ",Oct,Focus Features
tt20234774,0.08468,0.7246,0.19072,0.485112,121,Wicked Little Letters,"$76,654 ",Mar,Sony Pictures Releasing
